"date","version_id","ad_id","page_id","page_name","status","first_observed_by_us","meta_active_since","days_observed_running","creative_hash","duplicate_group","landing_url","notes"
"2026-06-17","legacy-before-version-tracking","1713306123193684","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-05-16","31","dca7414c","dca7414c","https://s.shopee.com.my/9KaeUBGe3v",""
"2026-06-17","legacy-before-version-tracking","977076671609398","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-05-16","31","7e8d143d","7e8d143d","https://s.shopee.com.my/8AOfd2z2tQ",""
"2026-06-17","legacy-before-version-tracking","841007575221584","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-05-16","31","4e43cd9a","4e43cd9a","https://s.shopee.com.my/8fMlQp6Mg6",""
"2026-06-17","legacy-before-version-tracking","987745410651771","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-05-16","31","7ff780ab","7ff780ab","https://s.shopee.com.my/4LAqKn5yyg",""
"2026-06-17","legacy-before-version-tracking","821948683968354","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-05-16","31","bfc9e359","bfc9e359","https://s.shopee.com.my/6Af7KrtDMe",""
"2026-06-17","legacy-before-version-tracking","1330577902356314","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-05-16","31","ad6f1dad","ad6f1dad","https://s.shopee.com.my/8V0PGMl27W",""
"2026-06-17","legacy-before-version-tracking","1305856715063804","60fae891","Rachun Premium","Active","2026-06-17","2026-05-16","31","8af38598","8af38598","https://s.shopee.com.my/40aGRM6iNh",""
"2026-06-17","legacy-before-version-tracking","1696894974774883","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-05-16","31","d2a7be01","d2a7be01","https://s.shopee.com.my/BNUkxJfjX",""
"2026-06-17","legacy-before-version-tracking","996003553383559","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-05-16","31","b9d444ce","b9d444ce","https://s.shopee.com.my/6pv8mlH2wE",""
"2026-06-17","legacy-before-version-tracking","1330750425638324","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-05-16","31","13c97d2b","13c97d2b","https://s.shopee.com.my/9KaeUBGe3v",""
"2026-06-17","legacy-before-version-tracking","1160635849527908","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-05-16","31","7f090cd3","7f090cd3","https://s.shopee.com.my/9Uu1T1iLch",""
"2026-06-17","legacy-before-version-tracking","1643426480268085","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-05-16","31","c6e799c1","c6e799c1","https://s.shopee.com.my/1BCujVVjSq",""
"2026-06-17","legacy-before-version-tracking","982654344412794","60fae891","Rachun Premium","Active","2026-06-17","2026-05-16","31","d0f025a7","d0f025a7","https://s.shopee.com.my/6pu2NEYEDu",""
"2026-06-17","legacy-before-version-tracking","2427879837686769","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-05-16","31","1c2ebf47","1c2ebf47","https://s.shopee.com.my/6fa9HopJbQ",""
"2026-06-17","legacy-before-version-tracking","2165096584254749","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-05-16","31","15cd736d","15cd736d","https://s.shopee.com.my/4LFt4tRveT",""
"2026-06-17","legacy-before-version-tracking","1006553335353455","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-05-16","31","c794631a","c794631a","https://s.shopee.com.my/2g4z4tpfBS",""
"2026-06-17","legacy-before-version-tracking","1493441792525702","60fae891","Rachun Premium","Active","2026-06-17","2026-05-16","31","5ed184cb","5ed184cb","https://s.shopee.com.my/4frBe0ikQf",""
"2026-06-17","legacy-before-version-tracking","26649871458041075","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-05-16","31","c9768c42","c9768c42","https://s.shopee.com.my/8pfPZsafun",""
"2026-06-17","legacy-before-version-tracking","1926352404751481","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-05-16","31","9c05011b","9c05011b","https://s.shopee.com.my/AABMZBxavi",""
"2026-06-17","legacy-before-version-tracking","1477916953995161","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-03-26","82","e74feb5e","e74feb5e","https://s.shopee.com.my/9KaeUBGe3v",""
"2026-06-17","legacy-before-version-tracking","1511800283715551","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-03-25","83","cbace853","cbace853","https://s.shopee.com.my/2g26QactWN",""
"2026-06-17","legacy-before-version-tracking","1503878204416607","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-03-25","83","3c46c254","3c46c254","https://s.shopee.com.my/8AOfd2z2tQ",""
"2026-06-17","legacy-before-version-tracking","833336729793987","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-03-25","83","e3c5670d","e3c5670d","https://s.shopee.com.my/1Vrs3pluK4",""
"2026-06-17","legacy-before-version-tracking","1722776408887178","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-03-25","83","3a0a06d9","3a0a06d9","https://s.shopee.com.my/8AOfd2z2tQ",""
"2026-06-17","legacy-before-version-tracking","1862895327699409","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-03-25","83","db0c82","db0c82","https://s.shopee.com.my/50ScXUW34b",""
"2026-06-17","legacy-before-version-tracking","1168456331922915","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-03-25","83","ba7d5d02","ba7d5d02","https://s.shopee.com.my/20ozHMRyMc",""
"2026-06-17","legacy-before-version-tracking","1988913318663656","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-03-25","83","61b65152","61b65152","https://s.shopee.com.my/9Uu1T1iLch",""
"2026-06-17","legacy-before-version-tracking","1446187596993865","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-03-25","83","113ec16","113ec16","https://s.shopee.com.my/2g4z4tpfBS",""
"2026-06-17","legacy-before-version-tracking","1247087870412445","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-03-25","83","b28d1750","b28d1750","https://s.shopee.com.my/8pfPZsafun",""
"2026-06-17","legacy-before-version-tracking","2798864367118139","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-03-25","83","24a535ee","24a535ee","https://s.shopee.com.my/BNUkxJfjX",""
"2026-06-17","legacy-before-version-tracking","961010249699021","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-03-25","83","f81583fa","f81583fa","https://s.shopee.com.my/2VkPG8s6rN",""
"2026-06-17","legacy-before-version-tracking","4358049474480317","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-03-25","83","8a7cf23b","8a7cf23b","https://s.shopee.com.my/1qUqRi5pY3",""
"2026-06-17","legacy-before-version-tracking","2124915881663293","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-03-25","83","32d052af","32d052af","https://s.shopee.com.my/50RyQnFFjz",""
"2026-06-17","legacy-before-version-tracking","936608642084509","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-03-25","83","338c2e36","338c2e36","https://s.shopee.com.my/5VMD4v7Cyo",""
"2026-06-17","legacy-before-version-tracking","1461464981998064","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-03-25","83","c1a8d7a0","c1a8d7a0","https://s.shopee.com.my/9KaeUBGe3v",""
"2026-06-17","legacy-before-version-tracking","2007756910171090","60fae891","Rachun Premium","Active","2026-06-17","2026-03-25","83","8af38598","8af38598","https://s.shopee.com.my/40aGRM6iNh",""
"2026-06-17","legacy-before-version-tracking","1245397040906739","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-03-25","83","b792ffc6","b792ffc6","https://s.shopee.com.my/1BCujVVjSq",""
"2026-06-17","legacy-before-version-tracking","947184841333874","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-03-25","83","35c502fa","35c502fa","https://s.shopee.com.my/5finUvZxsw",""
"2026-06-17","legacy-before-version-tracking","1254663399586544","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-03-25","83","8f642124","8f642124","https://s.shopee.com.my/9Uu1T1iLch",""
"2026-06-17","legacy-before-version-tracking","1428103148628843","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-03-25","83","2ed2b949","2ed2b949","https://s.shopee.com.my/8V0PGMl27W",""
"2026-06-17","legacy-before-version-tracking","2397415260727859","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-03-25","83","b3e262eb","b3e262eb","https://s.shopee.com.my/8fMlQp6Mg6",""
"2026-06-17","legacy-before-version-tracking","4478904709047552","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-03-25","83","b979be83","b979be83","https://s.shopee.com.my/6pv8mlH2wE",""
"2026-06-17","legacy-before-version-tracking","926311390000731","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-03-25","83","94399f11","94399f11","https://s.shopee.com.my/5L6RY9nmBG",""
"2026-06-17","legacy-before-version-tracking","948842070929046","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-03-25","83","fdb9925d","fdb9925d","https://s.shopee.com.my/6Af7KrtDMe",""
"2026-06-17","legacy-before-version-tracking","1624705382118375","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-03-25","83","1a483047","1a483047","https://s.shopee.com.my/AABMZBxavi",""
"2026-06-17","legacy-before-version-tracking","946538631441820","60fae891","Rachun Premium","Active","2026-06-17","2026-03-25","83","80cd508e","80cd508e","https://s.shopee.com.my/3fyOSgLTIk",""
"2026-06-17","legacy-before-version-tracking","789531707140007","c7865c20","See summary details Rachun Premium","Active","2026-06-17","2026-03-25","83","2bc5a787","2bc5a787","https://s.shopee.com.my/6VIwA7tmHi",""
"2026-06-17","legacy-before-version-tracking","1014102727469945","60fae891","Rachun Premium","Active","2026-06-17","2025-07-20","331","2d8b1bb6","2d8b1bb6","https://s.shopee.com.my/6V9xnZ3aLm",""
"2026-06-17","legacy-before-version-tracking","1281815743823930","f60d442d","Media Masta","Active","2026-06-17","2026-03-17","91","b84ee42a","b84ee42a","https://s.shopee.com.my/7pm9lyK65t",""
"2026-06-17","legacy-before-version-tracking","901263096247717","f60d442d","Media Masta","Active","2026-06-17","2026-03-17","91","2b724a30","2b724a30","https://s.shopee.com.my/AA9deTnGws",""
"2026-06-17","legacy-before-version-tracking","1509072010545207","f60d442d","Media Masta","Active","2026-06-17","2025-08-11","309","e37386cc","e37386cc","https://s.shopee.com.my/8KeXjwb7zs",""
"2026-06-17","legacy-before-version-tracking","726492980153676","f60d442d","Media Masta","Active","2026-06-17","2025-08-11","309","1dd32dde","1dd32dde","https://s.shopee.com.my/3qBirq2Ou3",""
"2026-06-17","legacy-before-version-tracking","715611427949545","f60d442d","Media Masta","Active","2026-06-17","2025-07-18","333","e9eec604","e9eec604","https://s.shopee.com.my/8fDzSm97jH",""
